"","sample","resmatrix size","Nfails","I_fails","Geweke_fails","percent converged (geweke)"
"1","wt_250",1214,32,6,220,81.8780889621087
"2","wt_750",1705,20,12,271,84.1055718475073
"3","wt_1500",1782,33,9,495,72.2222222222222
"4","tr_250",1157,23,2,149,87.1218668971478
"5","tr_750",1113,39,8,294,73.5849056603774
"6","tr_1500",1289,59,5,278,78.432893716059
"7","wt_250",1214,32,6,220,81.8780889621087
"8","wt_750",1705,20,12,271,84.1055718475073
"9","wt_1500",1782,33,9,495,72.2222222222222
"10","tr_250",1157,23,2,149,87.1218668971478
"11","tr_750",1113,39,8,294,73.5849056603774
"12","tr_1500",1289,59,5,278,78.432893716059
