id,name
ala-L_c,L-Alanine
arg-L_c,L-Arginine
asp-L_c,L-Aspartate
cys-L_c,L-Cysteine
glu-L_c,L-Glutamate
gly_c,Glycine
his-L_c,L-Histidine
ile-L_c,L-Isoleucine
leu-L_c,L-Leucine
lys-L_c,L-Lysine
met-L_c,L-Methionine
phe-L_c,L-Phenylalanine
pro-L_c,L-Proline
ser-L_c,L-Serine
thr-L_c,L-Threonine
trp-L_c,L-Tryptophan
tyr-L_c,L-Tyrosine
val-L_c,L-Valine
glc-A_c,alpha-D-glucose
sucr_c,Sucrose
fru-B_c,beta-D-fructose
udparab_c,UDP-L-arabinose
udpxyl_c,UDP-D-xylose
udpgal_c,UDP-galactose
udpg_c,UDP-glucose
udpglcur_c,UDP-D-glucuronate
co2_c,CO2
h2o_c,H2O
o2_c,O2
gal_c,D-Galactose
g1p_c,D-Glucose 1-phosphate
tre_c,Trehalose
glc-B_c,beta-D-glucose
tre6p_c,"alpha,alpha'-Trehalose 6-phosphate"
g6p-A_c,alpha-D-glucose 6 phosphate
b-glucan_c,"1,3-beta-D-Glucan"
mnt_c,Manninotriose
melib_c,Melibiose
stc_c,Stachyose
raffin_c,Raffinose
1Dgali_c,1-alpha-D-Galactosyl-myo-inositol
inost_c,myo-Inositol
cit_c,Citrate
oxa_c,Oxalate
gal_c,D-Galactose
g1p_c,D-Glucose 1-phosphate
tre_c,Trehalose
glc-B_c,beta-D-glucose
tre6p_c,"alpha,alpha'-Trehalose 6-phosphate"
g6p-A_c,alpha-D-glucose 6 phosphate
b-glucan_c,"1,3-beta-D-Glucan"
mnt_c,Manninotriose
melib_c,Melibiose
stc_c,Stachyose
raffin_c,Raffinose
1Dgali_c,1-alpha-D-Galactosyl-myo-inositol
inost_c,myo-Inositol
pep_c,Phosphoenolpyruvate
pyr_c,Pyruvate
mal-L_c,L-Malate
accoa_c,Acetyl-CoA
glu5p_c,L-Glutamate 5-phosphate
akg_c,2-Oxoglutarate
succ_c,Succinate
icit_c,Isocitrate
acon-C_c,cis-aconitate
cit_c,Citrate
akg_c,2-Oxoglutarate
2pg_c,D-Glycerate 2-phosphate
3pg_c,3-Phospho-D-glycerate
glyclt_c,Glycolate
g3p_c,D-glyceraldehyde 3-phosphate
dhap_c,Dihydroxyacetone phosphate
